,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
140,0.0,Wed Dec 27 05:47:34 +0000 2017,1.0,0.0,0.0,Can Japan survive without immigrants?https://t.co/lYRE1fGtZe https://t.co/cZKHEmmusd,41,CNN
141,0.0,Wed Dec 27 05:36:22 +0000 2017,1.0,0.0,0.0,China orders tech tycoon to return and face debts https://t.co/V2A0zwgzI3 https://t.co/Ic76Baq4D1,42,CNN
142,0.0,Wed Dec 27 05:30:46 +0000 2017,1.0,0.0,0.0,The NFL has canceled Sunday Night Football this week https://t.co/LEOQF4VSOI,43,CNN
143,-0.6249,Wed Dec 27 05:25:05 +0000 2017,0.814,0.186,0.0,"This year has been an unequivocal disaster for the future of the planet, writes Mark Kelly for @CNNOpinion… https://t.co/C7qZ5U8hi9",44,CNN
144,-0.5574,Wed Dec 27 05:19:30 +0000 2017,0.735,0.265,0.0,Tunisia suspends Emirates flights following female passenger travel ban https://t.co/jCfCS62Fqg https://t.co/Yczl59PWR1,45,CNN
145,0.1779,Wed Dec 27 05:11:44 +0000 2017,0.612,0.17,0.218,This overweight shelter dog helped save a 340-pound man's life https://t.co/wiekRNoEPX https://t.co/M94Zyg4x5f,46,CNN
146,0.0,Wed Dec 27 05:05:31 +0000 2017,1.0,0.0,0.0,"I'm a 6'3"" man with tattoo sleeves and a shaved head — and I have a #MeToo story, writes James Gagliano for… https://t.co/GKkbfQoNom",47,CNN
147,0.6369,Wed Dec 27 04:42:07 +0000 2017,0.53,0.0,0.47,Amazon unveils the top holiday gifts this season https://t.co/VmLjxV3BcA https://t.co/TSXFIdNL5a,48,CNN
148,0.0,Wed Dec 27 04:33:31 +0000 2017,1.0,0.0,0.0,Frigid weather will usher in the New Year in the Midwest and eastern US https://t.co/6wGuLgfnOF https://t.co/07cetxCIIK,49,CNN
149,0.0,Wed Dec 27 04:24:49 +0000 2017,1.0,0.0,0.0,"More pregnant women are using pot, study finds https://t.co/yLBo1i4qDg https://t.co/tJqDUPtMHG",50,CNN
150,0.4019,Wed Dec 27 04:16:03 +0000 2017,0.863,0.0,0.137,Elon Musk is promising to make an electric pickup -- repeating a pledge he first made in 2013… https://t.co/4ATT8f4md7,51,CNN
151,-0.5994,Wed Dec 27 04:07:21 +0000 2017,0.769,0.231,0.0,Fans and relatives remember music superstar George Michael a year after his death https://t.co/QZ5agEc4t3 https://t.co/5kYbGQFuhA,52,CNN
152,-0.7184,Wed Dec 27 03:53:50 +0000 2017,0.575,0.345,0.08,An Argentine prosecutor who accused top government officials of a cover-up in the country's deadliest terror attack… https://t.co/pDW2tmggO8,53,CNN
153,0.0,Wed Dec 27 03:40:16 +0000 2017,1.0,0.0,0.0,Here's a rare look inside apartment buildings where North Korean factory workers live https://t.co/99hnQ5y1cV https://t.co/pSGTHNpDhN,54,CNN
154,0.0,Wed Dec 27 03:32:03 +0000 2017,1.0,0.0,0.0,"This timelapse shows the progression of snowfall in Erie, Pennslyvania https://t.co/UOVGYvzwEc https://t.co/lcIcrzSio0",55,CNN
155,0.5106,Wed Dec 27 03:22:29 +0000 2017,0.784,0.0,0.216,A North Carolina family comes to the rescue on Christmas Eve. Twice. https://t.co/2O0yz6bzHT https://t.co/UBx0ea8ea4,56,CNN
156,0.3612,Wed Dec 27 03:12:51 +0000 2017,0.872,0.0,0.128,A Kremlin spokesman says Russia is ready to act as mediator for the US and North Korea https://t.co/7BRlZoVZwn https://t.co/oeh2t1yS4L,57,CNN
157,0.8083,Wed Dec 27 03:01:37 +0000 2017,0.732,0.0,0.268,"""Our child might be the reason you drink, so enjoy this bottle on us."" An Ohio couple rewarded their son's teachers… https://t.co/xe6f9GIKx3",58,CNN
158,0.4019,Wed Dec 27 02:35:51 +0000 2017,0.816,0.0,0.184,"This street in Okayama, Japan is devoted to denim https://t.co/sjxBHM2BmQ via @CNNStyle https://t.co/zPqG3NjmcH",59,CNN
159,-0.6124,Wed Dec 27 02:28:04 +0000 2017,0.641,0.265,0.094,This Syrian baby lost his eye to war. Now people are covering their eyes in solidarity. https://t.co/SYA8hVwg7t https://t.co/8uXA9upjsg,60,CNN
160,0.0,Wed Dec 27 02:22:32 +0000 2017,1.0,0.0,0.0,"Filmed from inside cars and hotel rooms, CNN's Justin Robertson gives us a rare insight into life in Pyongyang, Nor… https://t.co/ePIBKaUbUO",61,CNN
161,0.4019,Wed Dec 27 02:09:03 +0000 2017,0.881,0.0,0.119,Sen. Bernie Sanders: “We need a revolution in the way we treat women in the workforce from the bottom on up.”… https://t.co/15FwHpa3qz,62,CNN
162,0.7269,Wed Dec 27 01:51:01 +0000 2017,0.736,0.0,0.264,RT @OutFrontCNN: Billy Graham’s granddaughter: President Trump has not shown me that he is a strong man of faith https://t.co/oBFMuG6hHY,63,CNN
163,0.0,Wed Dec 27 01:50:55 +0000 2017,1.0,0.0,0.0,"RT @OutFrontCNN: Rev. Billy Graham's granddaughter Jerushah Armfield says the term ""evangelical"" is outdated and even ""hypocritical,"" addin…",64,CNN
164,-0.1779,Wed Dec 27 01:45:12 +0000 2017,0.796,0.119,0.085,"First, Crystal Travis helped a family escape a house fire in Cleveland County, North Carolina. Then, her husband pe… https://t.co/dgaFB31uXk",65,CNN
165,0.0,Wed Dec 27 01:31:03 +0000 2017,1.0,0.0,0.0,Investors think the iPhone X is a disappoinment https://t.co/7x1XwbmJ5G https://t.co/LAc4Up1sKu,66,CNN
166,0.0,Wed Dec 27 01:15:03 +0000 2017,1.0,0.0,0.0,Jamie Lynn Spears is pregnant with her second child https://t.co/4gnPmn7bkT https://t.co/OteS7xTeaA,67,CNN
167,-0.5574,Wed Dec 27 01:08:06 +0000 2017,0.735,0.265,0.0,"Tunisia suspends Emirates flights following female passenger travel ban
https://t.co/Nzn0QeHh46 https://t.co/DW6eOLyz3U",68,CNN
168,0.0,Wed Dec 27 01:00:45 +0000 2017,1.0,0.0,0.0,"To the world, Daniel Boulud is a renowned culinary master with 14 restaurants worldwide. But to his “French Connect… https://t.co/0pWnQzdbMw",69,CNN
169,0.1027,Wed Dec 27 00:36:31 +0000 2017,0.676,0.153,0.171,Singer Joy Villa alleges former Trump presidential campaign manager Corey Lewandowski assaulted her at Trump hotel… https://t.co/xDbQXz9Heg,70,CNN
170,0.0,Wed Dec 27 00:16:45 +0000 2017,1.0,0.0,0.0,Meet the culinary master known as ‘papa’ | via @CNNTravel https://t.co/KvFjze9uly https://t.co/Ws6xmVwJhs,71,CNN
171,-0.6124,Wed Dec 27 00:00:26 +0000 2017,0.641,0.265,0.094,This Syrian baby lost his eye to war. Now people are covering their eyes in solidarity. https://t.co/8dHmMvDyJF https://t.co/bIj2xFVPZI,72,CNN
172,0.0,Tue Dec 26 23:46:02 +0000 2017,1.0,0.0,0.0,A video capturing an unidentified object flying off the coast of San Diego in 2004 has been released by the US Depa… https://t.co/89PwWAulmW,73,CNN
173,0.0,Tue Dec 26 23:30:09 +0000 2017,1.0,0.0,0.0,These four chefs met in the ‘80s … and changed everything | via @CNNTravel https://t.co/l5hQWDYdwi https://t.co/dOO6hjvnQb,74,CNN
174,0.4215,Tue Dec 26 23:17:14 +0000 2017,0.859,0.0,0.141,The US Coast Guard rescued a sea turtle entangled in bundles of cocaine off the coast of Florida https://t.co/3s9DVeN3Ww,75,CNN
175,-0.4767,Tue Dec 26 23:00:55 +0000 2017,0.86,0.14,0.0,"Former Clinton aide Keith Boykin says Trump ""should be ashamed of himself for accomplishing so little with having a… https://t.co/en5OnRgauf",76,CNN
176,0.4019,Tue Dec 26 22:45:03 +0000 2017,0.881,0.0,0.119,Sen. Bernie Sanders: “We need a revolution in the way we treat women in the workforce from the bottom on up.”… https://t.co/mPtXUEwoQ1,77,CNN
177,0.0,Tue Dec 26 22:37:03 +0000 2017,1.0,0.0,0.0,Oil hits $60 a barrel for the first time in 2.5 years https://t.co/C0NvG15ZS0 https://t.co/Uxa8qgwg7G,78,CNN
178,-0.1779,Tue Dec 26 22:30:20 +0000 2017,0.856,0.086,0.058,"Sen. Bernie Sanders on DACA: “If we do not act, you’re going to have 800,000 people with no legal status who will b… https://t.co/uZG6DgxYzv",79,CNN
179,-0.2263,Tue Dec 26 22:16:30 +0000 2017,0.769,0.132,0.099,This Vietnam vet's dying wish was to see 'Star Wars: The Last Jedi'. His community came together to give him that a… https://t.co/HDpQebCJba,80,CNN
180,-0.5994,Tue Dec 26 22:07:07 +0000 2017,0.711,0.226,0.063,"The cities of New York, Philadelphia and San Francisco are suing the Department of Defense for failing to consisten… https://t.co/KilOs4e7kW",81,CNN
181,0.4215,Tue Dec 26 22:02:32 +0000 2017,0.859,0.0,0.141,The US Coast Guard rescued a sea turtle entangled in bundles of cocaine off the coast of Florida https://t.co/DSoBNFGgkT,82,CNN
182,0.0,Tue Dec 26 21:53:05 +0000 2017,1.0,0.0,0.0,Virginia Democrat asks court to reconsider decision that made delegate race a tie https://t.co/W1aO1ZAID5 https://t.co/vdO4n7IqO9,83,CNN
183,0.0,Tue Dec 26 21:45:59 +0000 2017,1.0,0.0,0.0,A video capturing an unidentified object flying off the coast of San Diego in 2004 has been released by the US Depa… https://t.co/TwQqm2zZXW,84,CNN
184,0.0,Tue Dec 26 21:30:12 +0000 2017,1.0,0.0,0.0,"A mining company announced that it is proceeding with plans to build an Alaskan gold and copper mine, which critics… https://t.co/N9hZeB5RXL",85,CNN
185,0.2944,Tue Dec 26 21:15:52 +0000 2017,0.901,0.0,0.099,"""My personal belief is that there is very compelling evidence that we may not be alone,"" says former military intel… https://t.co/dKV4P061zp",86,CNN
186,0.0,Tue Dec 26 21:07:06 +0000 2017,1.0,0.0,0.0,"The wildfires in California just keep shattering records this year, with costs topping $10 billion… https://t.co/p1HWVpmopp",87,CNN
187,0.5574,Tue Dec 26 21:00:20 +0000 2017,0.795,0.0,0.205,"President Trump has scored some successes in foreign policy, writes Peter Bergen for @CNNOpinion… https://t.co/fZZlMCI8EJ",88,CNN
188,-0.0258,Tue Dec 26 20:52:06 +0000 2017,0.945,0.055,0.0,A British woman who says she was carrying painkillers for her ailing partner was sentenced to three years in prison… https://t.co/fgyhqsd1qs,89,CNN
189,0.481,Tue Dec 26 20:45:06 +0000 2017,0.779,0.0,0.221,Here's another sign that shoppers spent big this holiday season https://t.co/CxES9aKqki https://t.co/OaPs60NCoP,90,CNN
190,0.6369,Tue Dec 26 20:30:06 +0000 2017,0.53,0.0,0.47,Amazon unveils the top holiday gifts this season https://t.co/4DoJMiHTDZ https://t.co/ITtdmJaNpy,91,CNN
191,0.8271,Tue Dec 26 20:15:08 +0000 2017,0.476,0.0,0.524,2017 was a great year to be rich https://t.co/ZbmGT49Pnx https://t.co/wJHtG2ExUB,92,CNN
192,0.0,Tue Dec 26 20:00:15 +0000 2017,1.0,0.0,0.0,The NFL has canceled Sunday Night Football this week https://t.co/QiDJeq7uTw https://t.co/zYPsuPuzbg,93,CNN
193,-0.1027,Tue Dec 26 19:45:13 +0000 2017,0.692,0.169,0.138,Treasury escalates pressure on North Korea with more sanctions https://t.co/dc5pBxeThx https://t.co/tTkIMjupkt,94,CNN
194,0.0,Tue Dec 26 19:44:13 +0000 2017,1.0,0.0,0.0,RT @CNNnewsroom: The Salt Lake Tribune's Editorial Page Editor tells @donlemon why the paper is calling on Senator Orrin Hatch not to seek…,95,CNN
195,-0.8402,Tue Dec 26 19:30:19 +0000 2017,0.714,0.286,0.0,"""The Sound of Music,"" actress Heather Menzies Urich has died of brain cancer, said her son. She was 68 years old… https://t.co/geV4nPsfJU",96,CNN
196,-0.5859,Tue Dec 26 19:17:00 +0000 2017,0.789,0.211,0.0,An iconic tree on the White House grounds is scheduled to be cut down after years of decay https://t.co/bg2C3sQ0Td https://t.co/00Vw8WOZVq,97,CNN
197,0.3612,Tue Dec 26 19:00:28 +0000 2017,0.872,0.0,0.128,A Kremlin spokesman says Russia is ready to act as mediator for the US and North Korea https://t.co/ymnQlgvVUm https://t.co/Usdt6zkL6m,98,CNN
198,0.0,Tue Dec 26 18:45:08 +0000 2017,1.0,0.0,0.0,President Trump has spent nearly one-third of his presidency at a Trump property https://t.co/Wf8HwDeDbe https://t.co/cumPR1jaFo,99,CNN
199,-0.3724,Tue Dec 26 18:30:07 +0000 2017,0.892,0.108,0.0,"RT @CNNnewsroom: Rep. Jackie Speier: ""This President does not respect the rule of law... He is constantly putting down the very institution…",100,CNN
200,0.4215,Wed Dec 27 14:41:01 +0000 2017,0.55,0.155,0.295,"Despite poor approval ratings, President Trump remains profoundly popular among white working-class voters… https://t.co/4i7NvU8V29",1,CBS News
201,0.0,Wed Dec 27 14:21:00 +0000 2017,1.0,0.0,0.0,"Zimbabwe's new president appoints ex-military commander as VP, deepening concerns about the military's influence af… https://t.co/y0XdDdolH0",2,CBS News
202,-0.6486,Wed Dec 27 14:01:02 +0000 2017,0.807,0.193,0.0,"A dead whale, thought to be a male humpback around 30 feet long, washed ashore in Northern California on Christmas… https://t.co/VYXmyvbfpA",3,CBS News
203,0.8074,Wed Dec 27 13:57:21 +0000 2017,0.722,0.0,0.278,A pair of best friends who have known each other for 60 years found out through a DNA-matching website that they ha… https://t.co/Uc6r9XQea3,4,CBS News
204,-0.0644,Wed Dec 27 13:41:01 +0000 2017,0.825,0.072,0.103,"A growing number of travelers complain that resort, urban or facility fees can add up to $50 to your bill, but an a… https://t.co/PO8L3JhMuR",5,CBS News
205,0.1027,Wed Dec 27 13:36:08 +0000 2017,0.856,0.063,0.081,"New technology is changing the way we pay for things, and mobile transactions worldwide are expected to top $721 bi… https://t.co/jRmyqX3YaB",6,CBS News
206,0.0,Wed Dec 27 13:34:18 +0000 2017,1.0,0.0,0.0,Here's a look at some of this morning's other headlines on @CBSThisMorning: https://t.co/zBlgYd7tKv,7,CBS News
207,-0.2732,Wed Dec 27 13:25:12 +0000 2017,0.762,0.143,0.094,"The American scientist James Conant oversaw the creation of the first atomic bomb was afraid of a nuclear standoff,… https://t.co/26wP1x2vyX",8,CBS News
208,0.0,Wed Dec 27 13:12:23 +0000 2017,1.0,0.0,0.0,A new study finds school-aged children who spent seven hours or more a week using computers or mobile video games t… https://t.co/mWrYoTCnRy,9,CBS News
209,-0.34,Wed Dec 27 13:10:00 +0000 2017,0.602,0.255,0.144,American Intelligence officials say Russian cyber attacks could threaten the 2018 and 2020 U.S. elections.… https://t.co/o6VBoySiXM,10,CBS News
210,-0.1027,Wed Dec 27 13:07:57 +0000 2017,0.928,0.072,0.0,Temperatures across much of the northern U.S. won’t get above freezing today. The chill follows a winter storm that… https://t.co/LtKnDVsrJz,11,CBS News
211,-0.2023,Wed Dec 27 13:01:01 +0000 2017,0.632,0.207,0.161,Dozens say farewell to popular mall Santa who died before Christmas https://t.co/u9HtayiwwI https://t.co/vtJYiBWjlN,12,CBS News
212,0.0,Wed Dec 27 12:53:34 +0000 2017,1.0,0.0,0.0,Here's a look at some of this morning's other headlines on @CBSThisMorning: https://t.co/dt8WO5rBb5,13,CBS News
213,-0.6584,Wed Dec 27 12:49:12 +0000 2017,0.625,0.272,0.103,An Ohio woman is free on parole after more than two decades in prison for a crime she says she did not commit. Tyra… https://t.co/MEKT4CSnOo,14,CBS News
